hrs,krate,name
104,0.339398734,Joey Gallo
92,0.265980114,Cristian Santana
89,0.266140603,Giancarlo Stanton
87,0.265880812,Miguel Sano
76,0.270909091,Lazaro Montes
76,0.33449965,Cody Johnson
74,0.304003955,Domingo Santana
74,0.225704568,Jose Rodriguez
73,0.210179641,Samuel Basallo
69,0.238434164,Matt Olson
67,0.236419281,Jhonkensy Noel
67,0.184297521,Junior Caminero
65,0.254972875,Orelvis Martinez
64,0.291838417,Bobby Bradley
61,0.145691057,Wander Franco
60,0.227743271,Cody Bellinger
60,0.239067055,Andy Pages
60,0.307560137,Mason Martin
59,0.16511514,Jesus Montero
58,0.216819974,Gary Sanchez
58,0.231197772,Francisco Alvarez
57,0.215046605,Renato Nunez
57,0.258370536,Hudson Potts
56,0.245105149,Marcell Ozuna
56,0.190048376,Aderlin Rodriguez
56,0.305860806,Carlos Rincon
55,0.227345845,Nomar Mazara
55,0.252791069,Anthony Garcia
54,0.19038817,Xander Bogaerts
54,0.297608503,Greg Halman
54,0.23015873,Luis Baez
54,0.27255814,Bryce Eldridge
54,0.26984127,Michael Burgess
53,0.23956044,Javier Baez
53,0.212780421,Jeral Perez
53,0.356164384,Justin Chigbogu
52,0.251308901,Austin Riley
52,0.218298555,Yanquiel Fernandez
51,0.198499318,Chris Marrero
51,0.204697987,Michael Arroyo
50,0.206166868,Jon Singleton
50,0.146237864,Maikel Franco
50,0.252688172,Travis Snider
50,0.148948266,Freddie Freeman
50,0.261574074,Deyvison De Los Santos
50,0.362359551,Seuly Matias
49,0.211875843,Tommy Joseph
49,0.169778296,Rafael Devers
49,0.123417722,Wilmer Flores
48,0.270695785,Guillermo Pimentel
48,0.301671733,Jhailyn Ortiz
47,0.261221486,Ryan McMahon
47,0.21728972,Dylan Carlson
47,0.206440958,Jackson Chourio
47,0.244565217,Moises Gomez
47,0.349019608,Chase Vallot
46,0.302070646,Tyler O'Neill
46,0.169467787,Moises Ballesteros
46,0.172966047,Matt Dominguez
46,0.301934399,Courtney Hawkins
45,0.164578112,Oscar Hernandez
45,0.315901814,Dermis Garcia
45,0.209774436,Noelvi Marte
45,0.176470588,Colby Rasmus
45,0.251851852,Alexfri Planez
45,0.250226655,Thayron Liranzo
45,0.28707719,Ryan Clifford
44,0.205372617,Corey Seager
44,0.110492846,Vladimir Guerrero Jr.
44,0.27231808,Jon Garcia
44,0.239800167,Johan Mieses
43,0.225525743,Josh Bell
43,0.199338687,Franmil Reyes
43,0.193263833,Eloy Jimenez
43,0.190851735,Jeter Downs
42,0.142570281,Oscar Taveras
42,0.254560531,Fernando Tatis Jr.
42,0.315936626,Carson Williams
42,0.224394786,Jay Bruce
42,0.229909526,Samuel Zavala
41,0.313096271,Lewis Brinson
41,0.230272597,Kevin Padlo
41,0.267621777,Anderson Tejeda
41,0.254320988,Tyler Soderstrom
41,0.232266164,Carter Jensen
